	away_score	home_score	advantage
afc bournemo	1.2272727272727273	1.2173913043478262	-0.009881422924901129
afc bournemou	1.3703703703703705	1.8	0.4296296296296296
arsenal	1.8125	2.3780487804878048	0.5655487804878048
arsenal 	1.5877862595419847	2.1538461538461537	0.566059894304169
aston villa	0.9125	1.3170731707317074	0.4045731707317074
aston villa 	1.1555555555555554	1.2835820895522387	0.1280265339966833
barnsley	1.0350877192982457	1.4901960784313726	0.45510835913312686
barnsley 	0.9863013698630136	1.2266666666666666	0.24036529680365293
birmingham city	1.048780487804878	1.2	0.15121951219512186
birmingham city 	1.0592105263157894	1.3333333333333333	0.2741228070175439
blackburn rovers	1.027027027027027	1.5316455696202531	0.5046185425932261
blackburn rovers 	1.1721611721611722	1.3694029850746268	0.19724181291345455
blackpool	1.1282051282051282	1.4848484848484849	0.35664335664335667
blackpool 	1.1205673758865249	1.3537414965986394	0.23317412071211452
bolton wanderers	1.0266666666666666	1.141025641025641	0.11435897435897435
bolton wanderers 	1.0588235294117647	1.4089219330855018	0.3500984036737371
bradford city 	0.7222222222222222	1.6111111111111112	0.888888888888889
bradford city a	0.9142857142857143	1.1714285714285715	0.25714285714285723
brentford	1.0555555555555556	1.5555555555555556	0.5
brentford 	1.4864864864864864	1.7567567567567568	0.2702702702702704
brighton & hove albion	1.0227272727272727	1.3478260869565217	0.325098814229249
brighton & hove albion 	0.9175824175824175	1.4111111111111112	0.49352869352869366
bristol city	1.1428571428571428	1.564102564102564	0.4212454212454213
bristol city 	0.9515151515151515	1.4523809523809523	0.5008658008658008
burnley	1.0	1.6785714285714286	0.6785714285714286
burnley 	1.071875	1.3630573248407643	0.29118232484076434
burton albion	0.9	1.25	0.35
burton albion 	0.8611111111111112	0.9736842105263158	0.11257309941520466
cardiff city	1.2686567164179106	1.5147058823529411	0.24604916593503057
cardiff city 	1.1824817518248176	1.47985347985348	0.2973717280286623
charlton athletic	1.1166666666666667	1.2280701754385965	0.11140350877192984
charlton athletic 	0.9052132701421801	1.3457943925233644	0.4405811223811843
chelsea	1.654320987654321	2.1481481481481484	0.49382716049382736
chelsea 	1.5440613026819923	2.1494252873563218	0.6053639846743295
colchester united	1.4444444444444444	1.8888888888888888	0.4444444444444444
colchester united 	1.135135135135135	1.6216216216216217	0.4864864864864866
coventry city	1.1538461538461537	1.2857142857142858	0.13186813186813207
coventry city 	1.0045454545454546	1.2314814814814814	0.22693602693602677
crewe alexandra	1.0	1.1363636363636365	0.13636363636363646
crewe alexandra 	0.9782608695652174	1.4623655913978495	0.4841047218326321
crystal palace	1.1111111111111112	1.2592592592592593	0.14814814814814814
crystal palace 	1.13915857605178	1.3527508090614886	0.21359223300970864
derby county	1.1111111111111112	1.4197530864197532	0.308641975308642
derby county 	1.0093457943925233	1.5420560747663552	0.532710280373832
doncaster rovers	0.7272727272727273	1.0	0.2727272727272727
doncaster rovers 	1.064516129032258	1.0869565217391304	0.02244039270687237
everton	1.175	1.475609756097561	0.3006097560975609
everton 	1.0267175572519085	1.6538461538461537	0.6271285965942452
fulham	1.1898734177215189	1.4337349397590362	0.24386152203751732
fulham 	1.0706713780918728	1.5627240143369177	0.4920526362450448
gillingham	1.0	1.5238095238095237	0.5238095238095237
gillingham 	1.065934065934066	1.2872340425531914	0.22129997661912548
grimsby town	0.8571428571428571	0.5384615384615384	-0.31868131868131866
grimsby town 	0.7818181818181819	1.4107142857142858	0.628896103896104
huddersfield town 	1.0344827586206897	1.2058823529411764	0.17139959432048668
huddersfield town a	0.953125	1.3577235772357723	0.4045985772357723
hull city 	0.9166666666666666	1.3157894736842106	0.399122807017544
hull city a	0.9634703196347032	1.3693693693693694	0.4058990497346662
ipswich town	1.1012658227848102	1.5662650602409638	0.46499923745615357
ipswich town 	1.18348623853211	1.5665634674922602	0.38307722896015006
leeds united	1.1176470588235294	1.4477611940298507	0.33011413520632127
leeds united 	1.1915708812260537	1.3931297709923665	0.20155888976631275
leicester city	0.9868421052631579	1.4545454545454546	0.46770334928229673
leicester city 	1.1881533101045296	1.4965034965034965	0.30835018639896683
liverpool	1.4096385542168675	1.7215189873417722	0.31188043312490477
liverpool 	1.5521235521235521	1.9961977186311788	0.44407416650762666
luton town	1.1111111111111112	1.6666666666666667	0.5555555555555556
luton town 	0.8378378378378378	1.7027027027027026	0.8648648648648648
manchester city	1.7215189873417722	2.289156626506024	0.5676376391642519
manchester city 	1.4157303370786516	1.9125475285171103	0.4968171914384587
manchester united	1.7228915662650603	2.2025316455696204	0.4796400793045601
manchester united 	1.6486486486486487	2.11787072243346	0.4692220737848114
middlesbrough	1.2073170731707317	1.3625	0.15518292682926838
middlesbrough 	1.0171232876712328	1.3877551020408163	0.3706318143695835
millwall	0.9423076923076923	1.3617021276595744	0.41939443535188214
millwall 	1.0298507462686568	1.266990291262136	0.23713954499347922
milton keynes dons	1.25	0.6	-0.65
milton keynes dons 	0.6842105263157895	1.0	0.3157894736842105
newcastle united	1.2380952380952381	1.5128205128205128	0.27472527472527464
newcastle united 	1.0639097744360901	1.6286764705882353	0.5647666961521451
norwich city	1.0	1.4533333333333334	0.45333333333333337
norwich city 	1.0955631399317407	1.5608108108108107	0.46524767087907004
nottingham forest	1.0289855072463767	1.5454545454545454	0.5164690382081687
nottingham forest 	1.0797101449275361	1.4623655913978495	0.38265544647031335
peterborough united	1.0666666666666667	1.75	0.6833333333333333
peterborough united 	1.037037037037037	1.5087719298245614	0.47173489278752445
plymouth argyle	1.28	1.103448275862069	-0.17655172413793108
plymouth argyle 	0.7787610619469026	1.3669724770642202	0.5882114151173176
portsmouth	0.9423076923076923	1.6607142857142858	0.7184065934065935
portsmouth 	0.9489795918367347	1.4114583333333333	0.4624787414965985
preston north end	1.1666666666666667	1.2878787878787878	0.1212121212121211
preston north end 	1.1106870229007633	1.6015625	0.49087547709923673
queens park rangers	1.09375	1.295774647887324	0.202024647887324
queens park rangers 	0.929368029739777	1.3778625954198473	0.4484945656800704
reading	1.1285714285714286	1.5945945945945945	0.46602316602316596
reading 	1.2797202797202798	1.4574468085106382	0.17772652879035844
rotherham united	1.0	0.8333333333333334	-0.16666666666666663
rotherham united 	0.90625	1.2748091603053435	0.3685591603053435
scunthorpe united	1.0769230769230769	1.5	0.42307692307692313
scunthorpe united 	0.8035714285714286	1.290909090909091	0.4873376623376624
sheffield united	1.0714285714285714	1.5576923076923077	0.4862637362637363
sheffield united 	1.0787037037037037	1.459090909090909	0.3803872053872053
sheffield wednesday	0.96875	1.2258064516129032	0.25705645161290325
sheffield wednesday 	1.0310077519379846	1.3846153846153846	0.35360763267740003
southampton	1.1666666666666667	1.4861111111111112	0.3194444444444444
southampton 	1.1150793650793651	1.4007936507936507	0.2857142857142856
southend united	0.5	1.4	0.8999999999999999
southend united 	0.8421052631578947	1.2222222222222223	0.38011695906432763
stockport county	1.7777777777777777	0.8888888888888888	-0.8888888888888888
stockport county 	0.972972972972973	1.0810810810810811	0.10810810810810811
stoke city	0.9333333333333333	1.1304347826086956	0.19710144927536222
stoke city 	0.8972332015810277	1.3397683397683398	0.44253513818731205
sunderland 	0.8875	1.2073170731707317	0.3198170731707317
sunderland a	1.0359712230215827	1.1884057971014492	0.1524345740798665
swansea city 	0.8837209302325582	1.3191489361702127	0.4354280059376545
swansea city a	1.0	1.4129032258064516	0.41290322580645156
tottenham hotspur	1.3125	1.451219512195122	0.1387195121951219
tottenham hotspur 	1.2900763358778626	1.9076923076923078	0.6176159718144452
tranmere rovers	0.4	1.75	1.35
tranmere rovers 	0.7777777777777778	1.2105263157894737	0.4327485380116959
walsall	0.8461538461538461	1.1428571428571428	0.29670329670329665
walsall 	0.8928571428571429	1.3818181818181818	0.48896103896103893
watford	1.4320987654320987	1.654320987654321	0.22222222222222232
watford 	1.1987381703470033	1.4889589905362777	0.2902208201892744
west bromwich albion	0.8875	1.5	0.6125
west bromwich albion 	1.083916083916084	1.4577464788732395	0.37383039495715553
west ham united	1.1625	1.3780487804878048	0.21554878048780468
west ham united 	1.072992700729927	1.4669117647058822	0.39391906397595533
wigan athletic	1.105263157894737	1.2833333333333334	0.1780701754385965
wigan athletic 	1.0476190476190477	1.1352657004830917	0.08764665286404405
wimbledon	1.3157894736842106	1.411764705882353	0.09597523219814241
wimbledon 	1.4109589041095891	1.32	-0.09095890410958907
wolverhampton wanderers	1.2236842105263157	1.4025974025974026	0.1789131920710869
wolverhampton wanderers 	1.2307692307692308	1.3993288590604027	0.16855962829117188
yeovil town	0.8	0.0	-0.8
yeovil town 	1.1666666666666667	1.0	-0.16666666666666674
